Sample_ID,id,Lon,Lat,EC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b101,b102,b103,b104,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b163,b164,TS
34,38,79.900907,37.278524,2.14,0,0,0,0.0,0.0,4.311139565,13.6056338,26.33978873,154.6826184,326.2637644,494.1077145,574.2013444,615.728233,654.1446863,693.2098271,728.3165813,748.6402049,770.7147887,793.2877721,820.7916133,847.478073,875.231274,902.3450704,925.5065621,948.346991,1001.71911,1098.25064,1192.827625,1243.667254,1253.06178,1263.622119,1278.294174,1293.257362,1304.945583,1317.372439,1328.744398,1349.489597,1371.007362,1391.914373,1415.002721,1437.672695,1456.635563,1475.072503,1492.940621,1511.567061,1529.786812,1544.211108,1558.606754,1575.701504,1592.919654,1597.881562,1596.699584,1614.316741,1686.93774,1756.961428,1807.300416,1844.445262,1881.037132,1904.703105,1927.34459,1949.268246,1985.685179,2023.71975,2053.696863,2083.815461,2107.84347,2121.429257,2135.49888,2157.524488,2183.683579,2209.272727,2216.861556,2223.857554,2246.752081,2272.086428,2297.204065,2336.375,2375.49904,2400.109315,2418.870038,2439.022247,2462.461268,2485.77993,2512.917734,2542.924456,2562.556818,2544.306818,2525.767125,2534.662772,2547.78041,2562.490397,2581.629962,2599.96991,2618.077145,2646.523047,2672.50048,2693.334507,2713.945583,2710.246159,2683.955666,2682.713988,2707.051697,2733.34219,2729.358995,2717.131882,2711.728553,2724.347471,2707.022887,2673.636524,2648.254161,2662.46911,2683.31386,2704.712228,2717.670615,2722.252561,2730.81226,2785.282971,2839.452305,2888.841709,2931.15653,2966.904449,2984.799936,3003.538252,3019.416453,3019.195423,3020.471831,3020.837708,3025.588988,3061.338508,3136.882042,3176.982875,3168.191261,3168.12356,3201.619078,3224.974552,3164.052497,3093.755922,3044.341069,3043.721031,3042.761204,3035.075864,3017.650608,3000.951504,2982.832266,2958.143406,2870.233515,2746.527529,2638.18694,2594.319462,2545.721831,2486.06242,2298.674776,2234.233675,2347.290333,2448.389085,2413.050896,2375.788892,2342.364597,2355.417574,2376.273367,2353.316421,2258.176376,2169.052497,2145.737836,8.875
1,1,79.899237,37.278093,1.374,0,0,0,0.0,0.0,0.411774015,3.179617028,8.204304479,96.05111568,208.0229467,320.4597246,399.9357493,467.136414,499.3438835,517.0110777,534.7276468,554.3739516,573.3813895,588.7968033,598.7439468,610.8716569,627.5610065,643.4984966,656.80978,669.5459725,703.9006172,774.0436778,843.520652,884.2285172,896.1596772,906.7406235,913.7043836,920.0427283,932.7314448,950.6469378,966.5864852,981.2796329,995.9457193,1006.528565,1014.886058,1024.696946,1043.556892,1062.085931,1073.933376,1079.065833,1086.418895,1108.486469,1130.093053,1137.051432,1136.82972,1150.79348,1172.20921,1209.377433,1279.673366,1347.152398,1381.381073,1398.933376,1418.174395,1446.081025,1473.691565,1502.337395,1519.984175,1537.062035,1565.482038,1594.172654,1617.244342,1632.029435,1646.279633,1669.105238,1698.830669,1727.232948,1746.906156,1767.100332,1771.866276,1775.523026,1783.613072,1808.065833,1832.512898,1850.243076,1866.397056,1883.509891,1926.221871,1969.241494,1999.43029,2021.447856,2040.801709,2049.217756,2057.126128,2080.328216,2105.739199,2133.595664,2167.81247,2203.565912,2230.211742,2242.354961,2261.253205,2287.9185,2314.51179,2322.00633,2314.696313,2316.702959,2327.692515,2338.848552,2348.289128,2358.733819,2363.963127,2364.319671,2351.7047,2331.011869,2318.405919,2354.006488,2397.400538,2439.294034,2464.11505,2471.106029,2485.44833,2545.42665,2604.824181,2645.414148,2676.625574,2703.584428,2723.997626,2744.751385,2767.008704,2799.969457,2828.687292,2846.843963,2865.462731,2888.831302,2913.081342,2931.377433,2944.069473,2958.013768,2972.906947,2978.937648,2931.966767,2882.413198,2861.595664,2898.688084,2930.978794,2956.348789,2979.828454,2997.548346,3011.646147,3018.592024,2950.391676,2840.884475,2744.979427,2687.247349,2629.44026,2567.489476,2552.899509,2563.526982,2591.108561,2617.463681,2614.22551,2608.951575,2598.212692,2576.444532,2548.553885,2493.297041,2406.170755,2327.454344,2310.076753,1.65
29,33,79.899473,37.279028,1.639,0,0,0,0.0,0.0,0.0,0.0,1.572183099,87.93870038,192.4210948,295.7535211,393.75,490.1110755,521.584347,529.6040333,536.7162292,546.1680538,555.9742318,573.1394046,596.0769846,618.9897567,635.9611076,651.2568822,665.1171575,679.1341229,717.2802497,789.7599232,861.1789373,900.5462548,912.5054417,922.5171255,927.4596671,932.3660371,932.0944302,929.365717,929.7064661,955.7765685,983.2099872,992.7464789,996.4018886,1000.029449,1003.191261,1006.934539,1020.035531,1037.653009,1054.931338,1067.785851,1080.722151,1099.822023,1120.336748,1124.596191,1124.615717,1144.908451,1198.87516,1250.128041,1290.394046,1327.251601,1362.081626,1381.783771,1401.019686,1420.408771,1433.823143,1447.288892,1462.391485,1478.542734,1499.314501,1525.475352,1553.660851,1575.926857,1595.354353,1610.690941,1616.060339,1620.432618,1645.338188,1670.297695,1696.887644,1719.46927,1740.326665,1755.361076,1768.93662,1784.06322,1808.931978,1833.859795,1855.68662,1875.643086,1894.587388,1913.006082,1929.082266,1928.131722,1927.212228,1927.709987,1965.433899,2003.668374,2034.107074,2047.753521,2060.53137,2069.458067,2078.549296,2084.866517,2090.991997,2107.577465,2128.384443,2150.471351,2152.12484,2152.572983,2141.818502,2125.895327,2110.196383,2095.269846,2085.455826,2122.984155,2159.632042,2195.697823,2233.877881,2275.483995,2312.756242,2341.100352,2371.232714,2398.948784,2423.927177,2451.175256,2479.197343,2507.414052,2528.960307,2532.087868,2539.90573,2559.042093,2581.644686,2634.347471,2708.013924,2725.492478,2688.118918,2663.974072,2674.351312,2678.823303,2636.946223,2596.025448,2573.977593,2590.03185,2607.954545,2665.232554,2724.09235,2705.209507,2671.350032,2635.059859,2519.611396,2373.635563,2269.785051,2252.847151,2233.559699,2203.191101,2014.871959,1969.869078,2013.828745,2046.298656,2042.28041,2038.288252,2038.210467,2086.37404,2130.335147,2082.014085,1976.837708,1880.612356,1879.71927,1.45
49,53,79.900938,37.278982,1.725,0,0,0,0.0,0.0,1.161011524,8.680377721,18.63044174,133.7013444,277.7456786,420.8413892,519.7023047,602.3385083,639.0632202,653.8898848,672.6080346,699.6432458,726.7855314,757.9871959,793.6888604,829.1861396,839.6674136,850.2207106,879.5112036,912.4242958,967.6101152,1058.668534,1149.334667,1196.658131,1200.414533,1204.970871,1215.986236,1226.702145,1237.59283,1248.319462,1259.441741,1271.183259,1282.096351,1301.644046,1323.389245,1343.979994,1357.93646,1371.90653,1385.759123,1402.557298,1420.348752,1440.361876,1459.677657,1478.825384,1497.454065,1510.588508,1523.335147,1550.771607,1607.929257,1664.84395,1702.065941,1733.706626,1764.202305,1789.403649,1815.544174,1840.352913,1858.977913,1878.006082,1899.350192,1919.75064,1941.24968,1961.172375,1981.114277,1993.210467,2001.399968,2013.596191,2048.547055,2083.817061,2097.206946,2107.978553,2121.009443,2144.15717,2168.467029,2189.873239,2209.444302,2230.214469,2236.046415,2240.911652,2257.223752,2281.794334,2302.255762,2301.643726,2299.759763,2319.729673,2340.236236,2363.109475,2379.487676,2396.018726,2411.419814,2424.034251,2433.004481,2438.304577,2443.146447,2458.721031,2481.695743,2495.869558,2505.810019,2516.460787,2518.171255,2517.0637,2513.84267,2506.490237,2481.903649,2451.980474,2425.399648,2463.695262,2505.649808,2546.382202,2572.277529,2586.817862,2605.190301,2641.808099,2679.383483,2703.488636,2723.071063,2741.399968,2757.610275,2773.107394,2790.131402,2806.956786,2821.131082,2830.370679,2844.610435,2886.476953,2958.139085,2987.673496,2957.491197,2934.696703,2927.307778,2911.962548,2855.631882,2796.793694,2763.824744,2806.956146,2850.6242,2874.393886,2887.387324,2878.534411,2859.525128,2837.705026,2733.256402,2586.536972,2465.533611,2427.612516,2385.818182,2335.984475,2123.542894,2098.948464,2263.922055,2390.242157,2309.214149,2229.118598,2150.12644,2202.043054,2266.503361,2259.520166,2179.274648,2104.183259,2095.816421,8.2
12,12,79.899969,37.278074,0.873,0,0,0,0.0,0.0,0.0,0.0,0.0,45.44025974,106.661039,168.1441558,241.8112013,320.2857143,365.9993506,394.2272727,417.9714286,428.4225649,440.0167208,453.5667208,470.5073052,486.2732143,502.9300325,519.1917208,536.9366883,555.9199675,590.2741883,654.6553571,717.6175325,749.6649351,747.7456169,747.299513,758.2150974,768.5180195,777.8063312,787.3925325,796.7603896,813.3560065,830.250487,837.0357143,840.5162338,844.0423701,860.1844156,877.6876623,890.5012987,901.3621753,911.3371753,925.0258117,939.2288961,954.4051948,968.7969156,975.9128247,978.6814935,1000.144318,1070.44724,1141.161201,1176.683604,1198.467695,1220.163799,1243.686039,1266.465909,1290.728734,1305.922727,1320.098214,1346.658117,1371.868506,1398.025812,1421.692045,1444.120942,1469.92224,1496.166558,1520.407955,1530.10487,1539.489448,1566.370779,1594.609578,1621.32776,1635.15763,1649.28961,1668.029383,1688.117532,1708.730195,1735.424188,1761.203409,1783.138636,1802.105844,1822.742532,1854.401461,1885.116396,1900.698539,1914.362013,1929.493344,1967.182305,2008.962175,2038.919318,2036.586201,2045.709253,2069.237013,2091.351136,2101.468506,2099.931006,2118.593344,2152.275162,2185.997078,2182.691883,2177.930357,2179.863474,2191.671753,2180.350325,2159.526786,2139.175487,2168.375487,2200.267532,2232.814773,2270.118019,2313.511851,2352.704221,2371.098539,2389.373214,2412.862175,2438.33263,2465.915097,2496.338799,2526.456331,2556.157468,2580.867532,2601.993831,2610.828896,2620.5875,2647.805844,2695.587175,2721.755682,2713.748701,2709.329058,2717.568831,2723.083279,2671.97289,2611.125487,2574.922403,2617.980195,2662.180195,2701.075,2737.782305,2725.828571,2694.230682,2661.075974,2557.37224,2418.674026,2303.523864,2276.07289,2249.10211,2217.816071,2141.032143,2105.840584,2115.301786,2124.645942,2131.622078,2138.768994,2144.237175,2133.030195,2118.810714,2056.893669,1942.371916,1828.964123,1817.041883,3.875
44,48,79.899641,37.27955,0.352,0,0,0,0.0,0.0,0.163633486,1.560373477,7.820857731,103.4396265,217.7281215,331.6716253,430.3543282,526.9164425,550.6664029,550.0468429,557.1910112,580.7974363,604.3418262,624.4861529,640.399905,655.6645039,678.0822915,700.2745688,713.8795696,727.06884,765.8806773,842.329799,916.1611014,959.4396265,975.4037031,989.1607849,991.2098433,994.0235797,1004.734135,1018.834942,1032.153822,1044.071372,1056.238804,1071.613072,1089.143061,1102.368096,1101.295616,1099.464947,1109.205254,1126.463681,1143.931951,1164.150182,1183.745371,1219.21918,1258.845387,1251.874347,1236.081658,1251.906156,1320.553094,1387.38044,1435.258743,1476.686818,1514.338503,1526.641399,1538.86501,1551.521127,1573.896344,1596.060136,1605.07153,1613.670676,1632.008071,1663.880361,1695.747112,1727.373002,1757.919608,1780.789682,1779.213008,1777.358759,1813.150657,1849.41573,1882.337553,1905.282798,1927.312391,1935.730337,1939.633486,1945.365881,1973.147175,2000.250673,2027.173129,2054.547397,2076.263016,2087.76721,2097.762621,2099.850609,2101.161418,2104.037348,2153.868967,2206.112201,2239.717993,2243.966925,2250.189745,2256.945878,2262.383447,2278.394208,2301.581896,2319.546289,2335.749486,2354.368254,2378.316664,2400.906156,2385.446748,2347.276943,2319.882576,2294.805507,2276.929736,2329.491059,2381.217914,2433.069315,2480.161418,2525.556892,2563.530305,2583.33154,2602.921981,2625.238487,2648.264757,2673.846969,2703.796487,2732.846653,2754.796487,2758.513056,2763.949834,2774.658332,2788.439152,2850.541225,2951.044786,2977.799494,2931.725906,2903.464947,2923.992562,2941.385504,2878.794429,2815.163159,2784.385029,2809.776863,2836.419687,2887.032758,2937.581263,2926.552936,2906.664979,2885.416838,2766.676215,2617.725115,2520.652951,2517.903149,2513.41668,2486.308118,2215.169331,2226.877671,2389.207628,2488.175819,2425.116474,2362.432822,2303.229941,2356.63048,2406.922931,2369.46463,2281.905048,2198.796012,2199.44833,2.1
67,71,79.901571,37.279344,2.73,0,0,0,1.848591549,4.095230474,45.08786812,166.6597311,293.1867798,477.1403649,674.2349552,862.9151729,952.2391165,1012.079866,1044.432778,1064.662932,1086.975992,1118.548496,1150.345711,1180.245198,1205.841709,1232.986716,1260.739437,1289.683419,1321.413092,1353.851152,1415.368278,1518.222951,1619.552337,1672.103713,1676.170775,1680.326344,1686.06162,1691.489757,1709.203105,1732.415493,1754.395006,1763.653969,1771.879962,1785.100832,1798.945423,1814.642125,1837.774168,1861.589469,1875.283771,1880.507042,1889.591389,1914.846351,1940.739117,1969.831946,1998.288412,2007.070743,2007.850672,2032.628681,2101.117798,2166.25112,2212.865077,2253.575064,2292.600672,2317.893246,2342.516485,2367.141005,2379.206466,2390.139885,2419.879001,2449.994078,2472.331466,2480.274648,2486.919814,2506.717029,2535.15525,2561.15669,2570.275608,2578.116517,2591.901889,2604.823944,2620.461268,2642.007042,2664.337708,2681.730154,2697.297535,2710.78137,2701.692061,2691.767926,2691.120519,2699.15509,2710.12404,2730.048656,2749.363476,2750.350192,2749.704866,2750.423335,2773.040013,2799.09283,2815.894686,2813.653169,2814.546575,2823.439501,2828.560179,2829.435019,2823.400128,2825.698143,2837.871159,2850.600992,2850.18822,2847.274328,2836.439821,2815.670455,2777.304898,2736.661172,2707.833067,2732.551376,2760.221671,2786.324264,2812.15637,2841.182939,2870.223592,2881.8137,2892.148848,2907.262324,2926.208387,2946.852593,2972.928617,2998.828745,3019.175896,3008.564981,3000.201985,2999.679738,3010.9371,3061.754962,3151.859635,3172.683099,3091.783611,3025.333547,3027.014565,3014.276889,2941.717029,2862.496959,2816.157971,2846.056818,2872.631722,2915.207426,2966.518886,2958.3121,2921.18598,2871.881082,2775.474392,2653.212388,2549.888924,2503.103233,2452.513764,2390.145327,2220.769366,2174.661652,2257.49952,2310.579065,2265.535691,2223.515045,2194.993118,2249.524488,2306.383643,2301.855954,2229.734155,2162.40765,2154.088508,11.8
17,18,79.899565,37.278535,0.402,0,0,0,0.0,0.0,0.010243278,0.242637644,0.702944942,79.30921895,188.5881882,297.7027849,362.993598,406.7098271,440.1174776,469.4138924,493.6203585,504.7596031,514.9747119,527.8610755,542.2243918,556.3026569,579.4290973,602.6298015,614.1930218,622.7597631,657.6782971,730.0227273,802.1819782,840.2243918,844.0192061,848.7426376,856.6782971,864.3509923,869.7716069,874.3626761,878.793854,896.0670615,913.5617798,925.7853713,935.4743918,947.2770487,963.5144046,981.1073944,994.8919654,1007.732875,1018.443342,1025.446863,1032.869238,1040.090269,1048.358195,1056.304738,1065.207746,1090.088348,1164.224872,1236.600832,1274.845391,1294.448303,1313.671895,1334.471511,1355.020967,1377.049776,1407.212868,1438.916293,1468.699424,1497.355954,1520.643086,1529.277209,1538.658931,1557.314981,1583.541613,1607.240557,1620.806818,1633.059539,1654.607074,1676.543694,1699.122919,1731.518246,1764.290493,1783.059539,1797.621319,1813.951985,1856.345711,1897.618918,1930.746639,1959.682458,1980.207266,1971.056338,1959.902209,1968.271127,1979.199104,1991.172055,2028.330826,2068.633163,2101.15509,2113.902049,2132.159731,2156.733675,2180.830346,2184.865877,2171.332106,2177.006722,2199.158771,2222.325064,2219.629481,2214.201184,2221.825544,2254.943502,2256.994878,2242.865557,2231.476953,2254.173656,2281.761364,2308.65573,2328.939821,2342.53201,2360.877241,2400.834827,2440.757682,2482.501601,2525.989437,2565.213828,2593.96959,2622.599552,2649.277049,2668.671255,2687.40701,2699.645006,2713.325224,2744.388604,2795.598592,2831.256722,2855.082907,2883.618758,2928.25144,2968.198944,2912.431178,2844.049296,2798.330986,2800.516805,2802.794654,2821.245999,2844.857875,2838.78217,2820.178777,2797.040653,2717.502401,2612.088028,2522.236556,2485.403169,2446.737196,2401.46831,2252.819782,2214.290013,2316.24952,2404.994238,2382.547375,2358.871319,2333.888444,2348.330346,2370.636044,2347.705346,2262.582106,2179.576665,2161.923656,2.4
56,60,79.900602,37.279508,2.07,0,0,0,0.0,0.0,2.437094477,22.98053489,46.35147966,178.5277734,356.5929736,530.6376009,607.4855199,634.655167,664.7186264,697.235322,725.9139104,742.576357,758.4695363,775.3411932,793.5345783,810.6969457,831.8395316,854.3616078,869.0914702,880.9393891,919.0330749,1012.015034,1104.114259,1165.542016,1188.489634,1210.470802,1217.337079,1223.447381,1237.721475,1258.625099,1277.418895,1298.594714,1319.24276,1332.540908,1342.410191,1351.756765,1362.71198,1374.080551,1388.368887,1405.948251,1425.356227,1456.830828,1487.381231,1501.933217,1497.990505,1507.166799,1528.702326,1564.842064,1644.090362,1722.199399,1772.097326,1800.067257,1828.486153,1861.417788,1896.055389,1930.190853,1956.152872,1979.71736,2000.727489,2021.989239,2047.863744,2089.94113,2131.50087,2164.131825,2185.358759,2207.184681,2231.508467,2256.415889,2279.938914,2303.995094,2327.326792,2365.843013,2403.748536,2416.694888,2415.544706,2413.676215,2442.39405,2475.774173,2519.941446,2576.984966,2629.289761,2638.717202,2646.914543,2660.831461,2676.640133,2694.02532,2719.381073,2747.671309,2773.490426,2795.900775,2815.33692,2827.612439,2838.195442,2840.141636,2828.863111,2838.31793,2878.659123,2921.507201,2929.133882,2925.766893,2919.839057,2926.42665,2918.807248,2900.841272,2887.459883,2910.868017,2948.710081,2984.579047,3018.582054,3049.774648,3082.417788,3101.796962,3121.28533,3150.336129,3188.169964,3222.768634,3243.197341,3262.727963,3281.816268,3288.658965,3296.780503,3311.475075,3334.530464,3382.075803,3490.427916,3560.125495,3523.202405,3494.49818,3488.273936,3471.395316,3416.005855,3345.631113,3290.13863,3331.732869,3373.125178,3403.322994,3422.519702,3425.502295,3413.470486,3394.078968,3319.134357,3174.654376,3037.372369,3046.44026,3052.09416,3034.15129,2910.777338,2824.721633,2921.861845,3003.669726,2951.21649,2886.039721,2832.935275,2866.247508,2941.486311,2974.81975,2888.016933,2806.421111,2776.031651,8.725
15,16,79.89913,37.278574,0.26,0,0,0,0.0,0.0,0.031175819,0.338819433,10.86659282,99.80756449,196.5133724,291.1449596,335.5940813,373.2297832,404.3590758,433.8919133,452.6192436,465.1178984,477.4382022,487.8096218,498.2345308,511.5329957,527.1235955,541.2457667,555.4620984,571.8887482,622.1876879,687.1087197,747.4687451,772.330432,787.6635544,796.3101757,797.7865169,798.5016617,811.002532,824.9631271,839.6203513,855.6567495,872.4821966,874.0724798,875.0382972,883.8308277,903.5310967,921.6382339,932.1000158,940.805982,948.2973572,953.5747745,958.6489951,970.2055705,980.8790948,995.1433771,1014.314923,1058.438994,1115.283431,1166.702959,1186.555784,1206.168856,1225.483146,1245.580313,1265.385188,1289.181833,1319.890647,1351.328375,1377.311758,1402.772432,1423.425067,1441.852825,1459.607058,1485.619718,1513.363349,1537.191328,1555.227093,1571.185156,1579.280741,1587.050008,1610.426333,1646.020889,1674.81611,1680.737617,1688.193702,1710.303371,1748.37142,1781.299414,1806.918975,1831.972622,1844.619085,1848.285488,1859.101757,1885.034816,1911.692673,1941.44295,1970.716569,1997.589017,2016.988764,2035.561323,2047.801234,2059.794429,2065.969299,2058.687609,2051.003798,2067.639183,2085.842538,2107.128185,2129.203671,2142.165374,2126.267289,2100.554835,2076.815319,2063.322678,2081.052065,2126.543124,2169.581738,2207.065991,2236.341668,2266.51543,2294.728913,2323.764045,2359.679696,2405.965184,2446.706283,2471.82244,2493.368571,2516.015034,2539.932584,2562.327425,2585.683336,2612.689191,2648.408767,2685.752018,2707.472385,2721.631113,2740.469695,2754.990663,2752.100174,2724.72195,2680.359867,2655.445007,2673.976579,2705.274094,2731.333914,2737.687134,2741.564172,2752.893021,2758.983225,2732.206837,2617.383922,2490.867701,2430.805824,2391.557683,2337.199557,2245.350055,2136.044786,2169.702326,2223.099225,2259.41668,2288.524134,2302.927204,2294.44295,2265.215699,2228.512581,2181.607216,2146.300997,2127.809147,2127.128818,1.775
11,11,79.899725,37.278108,1.013,0,0,0,0.0,0.0,0.0,0.0,0.0,75.75896287,173.3692382,272.4412612,341.5216069,401.0380922,435.8902049,462.1117157,487.2167093,509.1523688,529.9215749,544.6534891,552.6765365,561.1478873,576.28121,592.328105,607.7327145,623.112516,658.8444302,726.5945903,794.4010883,830.8599552,836.7488796,841.7267926,851.6387644,861.824904,875.199904,890.8767606,904.0233675,906.7349552,909.7487196,918.6309219,928.7259923,940.8993278,957.8833227,975.9268566,986.1538092,991.3412292,1000.683579,1019.630442,1037.559859,1049.973431,1058.494558,1067.513124,1075.117798,1101.056178,1169.698784,1237.981114,1276.353073,1304.552977,1331.904289,1357.536492,1381.770006,1405.916293,1424.680698,1443.225672,1470.608195,1495.419174,1515.643246,1526.862036,1538.336108,1555.770967,1576.602433,1599.15685,1626.322663,1651.667734,1666.978873,1680.172855,1696.216869,1717.884123,1739.403809,1756.9371,1774.909571,1793.426216,1822.273848,1852.161652,1878.081626,1902.381562,1922.159731,1931.565941,1942.616037,1959.583707,1977.78265,1994.864117,2014.574264,2036.338988,2060.298335,2087.378841,2111.322663,2134.302337,2158.040173,2158.440461,2144.649808,2157.84363,2184.040173,2207.729994,2212.339949,2215.677657,2207.169494,2186.65781,2168.196223,2150.212708,2135.457907,2175.828585,2217.809859,2259.242958,2297.740877,2335.620359,2367.533771,2387.627881,2407.988636,2444.420935,2483.277849,2515.890205,2537.519046,2559.618918,2569.542894,2559.272567,2565.132843,2592.536812,2619.298496,2640.479033,2660.278969,2683.608995,2706.493918,2725.916133,2743.588828,2763.018566,2706.172215,2645.572983,2617.617157,2644.623079,2672.458387,2678.620198,2682.435659,2693.964149,2704.616997,2719.887484,2603.56146,2462.448464,2362.127881,2340.800576,2318.774648,2288.766165,2136.442862,2125.142926,2189.276248,2228.302497,2218.293534,2208.441101,2200.373079,2155.995679,2111.78281,2051.739277,1976.298496,1900.401408,1898.314501,4.475
