id,Lon,Lat,TS,EC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b101,b102,b103,b104,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b163,b164
20,79.899885,37.278261,2.175,0.3,0,0,0,0.0,0.0,0.233897769,3.618135781,7.500712138,90.58711821,204.4326634,318.4464314,393.8162684,450.0936857,483.5586327,507.0037981,525.0090204,532.4135148,540.205887,553.5003956,572.6592815,592.614496,612.300997,631.8414306,642.4584586,653.645197,685.3217281,757.9672417,831.1343567,875.2826397,886.3763254,896.3600253,903.2291502,910.4162051,922.7365089,936.8012344,951.0541225,963.3046368,976.2975154,993.0414623,1012.602627,1030.607058,1042.71736,1054.801234,1068.305428,1083.273303,1099.957905,1122.681437,1144.806457,1152.460832,1151.302896,1162.072322,1180.198291,1211.138313,1279.135623,1345.713562,1389.877354,1421.950942,1453.110777,1483.720525,1513.052856,1544.198133,1559.919766,1573.403228,1601.484412,1632.416205,1662.996518,1692.954423,1721.080709,1739.66213,1749.003007,1760.008546,1778.942238,1797.200981,1823.326317,1850.055863,1876.41035,1907.258743,1937.901408,1953.762146,1963.762937,1974.660548,2010.317455,2046.992879,2082.457351,2116.463523,2145.609748,2147.448172,2147.772432,2166.253521,2188.083399,2210.718785,2245.675898,2280.635385,2317.814844,2369.729862,2403.37775,2410.866593,2416.485995,2420.60595,2419.725589,2429.206678,2449.035449,2467.939231,2483.020731,2497.145593,2498.149074,2478.999842,2467.241019,2461.84871,2460.20652,2491.349581,2528.803292,2566.436303,2594.568761,2615.739832,2638.883526,2685.79617,2731.431239,2771.230258,2806.211426,2839.28264,2868.890806,2897.714987,2921.329957,2914.48457,2912.506093,2933.434246,2954.019623,2982.605792,3019.013768,3050.395949,3077.538851,3104.053964,3121.404178,3134.898718,3089.313182,3036.375376,3008.707074,3052.474284,3094.950942,3089.39579,3062.038297,3060.76626,3070.843804,3077.705017,2995.490109,2861.962494,2754.081658,2766.60959,2778.241336,2785.849502,2672.348315,2617.193069,2652.052065,2685.465105,2683.368729,2678.952524,2672.490742,2666.382972,2659.385504,2632.573192,2580.322994,2534.09606,2521.209527
49,79.89987,37.279497,3.975,0.767,0,0,0,0.0,0.0,0.239276569,3.303777209,8.107394366,106.3514725,234.1128361,361.8295455,440.6454866,502.0709027,536.1315621,558.434379,577.456146,591.4785531,605.3215429,620.6482074,635.6827785,651.4239757,669.9675096,688.0328105,709.5254481,734.003041,777.293694,851.6107554,922.5733035,963.1470871,965.8620359,968.9295775,985.2335147,1001.134603,1016.473592,1030.7508,1043.799776,1058.451024,1072.671415,1087.553137,1100.934539,1116.036812,1126.963508,1137.259603,1150.055698,1165.154129,1179.021607,1191.466069,1204.303617,1212.504321,1218.425576,1232.037132,1252.613796,1288.825064,1357.766005,1424.408771,1459.939661,1479.433739,1497.449104,1525.851953,1557.009603,1587.430218,1611.647567,1635.056658,1659.485595,1683.555858,1709.765205,1738.18598,1767.026088,1796.919494,1822.524328,1848.181338,1865.007682,1881.428937,1900.752081,1920.378521,1942.377721,1957.427177,1971.668534,1988.603553,2008.535851,2029.927817,2057.510403,2085.848431,2111.18726,2132.597951,2153.28041,2170.294494,2186.827785,2206.522727,2227.691101,2250.432458,2291.966229,2339.757202,2375.786332,2359.884763,2358.882522,2386.852593,2413.508963,2422.278329,2409.371319,2417.028809,2451.298656,2487.800896,2490.06162,2480.835147,2475.042414,2488.543054,2484.682618,2468.850032,2463.903169,2493.31242,2532.851633,2570.419014,2610.644526,2657.802177,2707.24952,2725.552817,2742.635083,2771.911652,2814.457106,2851.426216,2861.417734,2871.426857,2879.145166,2916.150768,2951.612196,2969.167574,2990.943822,3048.921735,3148.728233,3191.191741,3136.572343,3094.997119,3104.203745,3105.003681,3060.870999,3005.523688,2977.364917,3008.082106,3037.299776,3069.307138,3106.834507,3117.300896,3109.190621,3092.722311,3011.774968,2902.425416,2823.082586,2816.951665,2808.545935,2762.068822,2590.701825,2535.084347,2619.53105,2666.725992,2631.153489,2587.307618,2563.638284,2609.697503,2675.194302,2688.304898,2618.960948,2555.457106,2531.320903
37,79.900701,37.278623,6.05,1.413,0,0,0,0.002690299,0.014084507,88.74014876,383.5942396,679.0767527,858.683969,1014.066466,1169.958063,1254.597405,1321.508783,1358.619402,1387.750277,1410.557367,1423.862003,1436.615604,1463.19655,1502.245608,1540.595664,1583.081975,1625.895395,1662.587435,1698.875455,1763.159677,1858.301472,1954.742997,1997.890647,2007.313974,2012.67938,2009.817218,2007.408134,2019.00902,2033.927204,2049.807248,2066.236588,2083.570185,2093.996677,2105.327583,2116.53442,2129.090521,2141.064251,2163.806298,2190.784301,2227.545023,2279.212375,2333.775439,2353.851242,2365.27805,2356.866118,2345.392942,2357.403703,2409.584428,2460.918342,2504.728913,2545.172496,2588.687134,2641.267131,2695.649312,2737.477924,2719.443741,2707.702643,2734.837,2761.271562,2770.663238,2766.365881,2762.286912,2782.403228,2808.75724,2833.29435,2858.352904,2883.910112,2903.261592,2923.375218,2933.544548,2935.550404,2939.997784,2972.352429,3005.221079,3029.316348,3030.574458,3030.350372,3022.664979,3016.223295,3022.191486,3036.660389,3045.228675,3026.475392,3007.470802,2991.097167,2987.845545,2986.675107,2960.104289,2916.067416,2922.444532,2944.867701,2967.846969,2965.516854,2954.301788,2961.01899,2973.428707,2975.613388,2941.89856,2906.215382,2896.54344,2902.863111,2866.997468,2825.202089,2792.531571,2811.560848,2831.671467,2851.140845,2863.30527,2872.966609,2893.856939,2929.85868,2964.825131,2964.693306,2961.784143,2970.454344,2985.622883,3000.439943,3021.862795,3046.814844,3064.705966,3076.467479,3087.94746,3156.210635,3249.293717,3230.420003,3165.43203,3137.388194,3153.542807,3150.031967,3066.031176,2978.335813,2950.923406,2967.39674,2989.255737,3045.019782,3092.013451,3038.39579,2982.503402,2927.511632,2781.28533,2625.84507,2535.761038,2510.050957,2484.947935,2430.360817,2233.330907,2221.900142,2268.93116,2283.193543,2241.621301,2199.865643,2163.035132,2173.037506,2184.802026,2109.173762,1999.407185,1905.084349,1903.305428
52,79.900564,37.279119,9.925,2.43,0,0,0,0.0,0.0,10.02208707,52.51488476,97.8950064,220.8253841,366.1653329,510.2443982,606.1477273,684.5620999,723.9199744,747.0729834,769.7783291,790.5693022,811.2732074,835.2664853,865.0941101,892.4403009,915.2869718,937.7645647,965.8815621,996.6040333,1051.045615,1139.877561,1228.768726,1272.520647,1270.06402,1270.735755,1288.015205,1305.446543,1318.154289,1329.056018,1339.022407,1340.833387,1341.743758,1365.274008,1398.119078,1427.948303,1431.973271,1435.494398,1451.011204,1475.733995,1500.75064,1524.068342,1547.09299,1570.882682,1593.066101,1617.410051,1640.201665,1676.170935,1733.923816,1789.667894,1828.68614,1864.035691,1898.784891,1919.012004,1939.40589,1960.03249,1975.441101,1990.099072,2022.174616,2056.326344,2084.458227,2100.215269,2116.070743,2128.933419,2138.504161,2152.301697,2188.878841,2226.892606,2248.3129,2266.56114,2284.072823,2302.09475,2319.40749,2346.039052,2377.039052,2407.711908,2420.287452,2430.394206,2442.241037,2457.540813,2470.365397,2475.790333,2480.607234,2496.940461,2515.588348,2534.016965,2551.822343,2568.384283,2584.560659,2605.7492,2620.347471,2628.075704,2637.051376,2645.795935,2653.846991,2669.587388,2689.879481,2712.802817,2710.140845,2704.551216,2704.042093,2712.175576,2692.600352,2662.819462,2638.12612,2671.190141,2708.598271,2746.822983,2779.668534,2808.422055,2836.617798,2868.641645,2899.612356,2914.985595,2922.6879,2938.580986,2969.861716,3001.339469,3029.643246,3036.768726,3045.299776,3054.295615,3066.896767,3114.613156,3195.456146,3223.587868,3194.653489,3175.162292,3179.756402,3174.457266,3102.980794,3020.514725,2976.073624,3028.458547,3081.886684,3123.172535,3153.822503,3147.024648,3128.283611,3103.849072,2998.050896,2856.00064,2752.842029,2765.284091,2774.625,2763.510243,2521.883003,2472.774328,2596.731594,2686.443982,2644.184219,2601.963028,2562.497759,2617.638124,2683.798496,2646.364117,2509.319302,2377.348271,2361.935179
34,79.899763,37.278963,2.3,0.332,0,0,0,0.0,0.0,0.052539959,1.281373635,4.102706124,76.54549771,175.5589492,274.2516221,353.9158095,423.7961703,465.0978003,491.1215382,513.1368887,524.6396582,535.1216965,546.2916601,557.3184048,569.412407,580.9139104,592.7398323,613.1330907,635.6470961,676.0449438,742.795379,807.4560848,842.3487894,845.6751068,848.1253363,859.6896661,870.8455452,881.8409558,891.7474284,902.0928944,919.915493,938.3883526,946.0468429,947.5098908,950.2258269,962.9476183,976.7075487,988.2433929,997.2345308,1008.203988,1024.526349,1040.454819,1047.307011,1045.740149,1051.972147,1066.299731,1093.631113,1154.056022,1210.991138,1247.745688,1273.181358,1297.360342,1319.465263,1342.48552,1365.393891,1379.777022,1391.788099,1416.084032,1442.6069,1464.586169,1476.252572,1488.699794,1511.143061,1546.947618,1582.178984,1585.471435,1589.181041,1606.640608,1626.873081,1646.443108,1659.159044,1671.24181,1689.120114,1710.660706,1733.831935,1763.020889,1792.292451,1812.773382,1827.871657,1843.695838,1868.683019,1891.678747,1907.864852,1922.333914,1937.880677,1959.114417,1982.671784,1997.254787,1983.858205,1988.174236,2023.292293,2056.878462,2072.419845,2066.477924,2075.034974,2099.267764,2124.193385,2127.305903,2124.596772,2121.70739,2119.918183,2110.128976,2096.550878,2091.41304,2120.326159,2158.64583,2194.590125,2231.660706,2270.369837,2309.149074,2324.127552,2338.284539,2367.644248,2407.281215,2439.945561,2446.362716,2453.865327,2460.247191,2477.131983,2495.186422,2522.85868,2555.020573,2600.145434,2650.099858,2671.225194,2655.530147,2646.573508,2668.106504,2678.540434,2647.906473,2608.05982,2590.643614,2608.677797,2624.365564,2633.076436,2642.305428,2641.238171,2631.990347,2611.754708,2525.813103,2398.880519,2295.021206,2287.729704,2278.651211,2249.532521,2132.929103,2078.825764,2129.023421,2164.056971,2126.467479,2087.592182,2055.813578,2062.578731,2075.916284,2056.05618,1994.798069,1942.321412,1927.433613
13,79.900274,37.27791,4.95,0.91,0,0,0,0.0,0.0,7.446747903,52.94382022,102.1487577,265.5269821,467.9609115,670.7479031,766.2581105,820.386137,850.1492325,869.0746954,884.8751385,895.1139421,905.6252572,917.1188479,927.6137047,938.0925779,974.2813736,1011.910429,1033.929103,1055.278525,1103.694572,1192.617186,1281.43298,1325.184365,1327.118531,1326.224719,1316.881627,1306.591233,1322.054914,1346.923406,1369.943504,1379.137838,1389.170913,1408.359709,1432.763728,1452.783827,1450.632062,1447.005064,1456.628264,1476.239595,1495.818959,1507.86137,1519.500396,1541.637759,1571.631429,1590.018199,1602.892863,1629.850609,1693.966609,1756.036082,1791.520494,1816.041146,1839.873239,1858.252572,1877.053173,1896.564013,1922.644248,1949.453395,1954.356227,1957.43029,1969.722899,2001.946036,2033.778288,2052.446115,2059.294034,2069.96376,2093.677006,2116.430606,2118.019307,2117.285172,2121.382339,2150.651052,2177.814686,2206.51448,2236.712455,2267.238171,2278.160152,2289.550562,2296.567811,2301.605159,2299.235322,2279.219497,2259.050166,2271.174236,2285.281057,2300.029435,2317.748536,2336.045893,2345.885267,2332.532679,2332.338028,2346.513056,2362.160468,2369.160943,2371.238171,2380.030543,2393.027694,2405.305586,2405.170597,2405.101282,2401.372053,2393.307011,2375.248299,2352.876246,2334.944453,2353.232315,2374.850768,2395.902358,2413.237379,2426.392467,2444.680013,2485.07517,2525.668935,2551.743314,2570.70834,2582.460832,2580.987815,2578.491533,2583.330749,2615.140054,2639.462257,2650.329957,2659.87134,2675.826555,2697.114259,2719.358443,2747.125495,2772.012818,2777.545972,2778.663713,2729.896186,2677.647571,2652.680013,2671.524292,2689.917392,2650.542491,2592.462415,2593.659598,2613.613072,2626.329008,2502.272353,2329.836683,2194.133091,2138.258269,2084.542807,2028.161893,1987.786833,1986.259376,2004.29894,2014.964868,1988.02532,1959.566229,1928.52176,1907.641557,1887.313024,1831.392784,1738.749327,1653.725273,1642.461782
67,79.90048,37.279676,7.5,1.787,0,0,0,0.0,0.0,0.47759283,6.621318822,13.7506402,135.9494238,292.6017926,449.0060819,531.6206786,588.6235595,627.1515685,659.7122279,687.1115557,703.1976633,719.4414213,738.3950064,760.8241037,783.578265,811.2572023,838.7005442,855.6269206,871.1814981,915.0158451,999.4758323,1084.051857,1125.326665,1130.233835,1136.331306,1137.473592,1138.324904,1153.796735,1178.40717,1199.904609,1206.304417,1213.52993,1229.790013,1248.766005,1268.429097,1278.466389,1289.49984,1302.895166,1321.96975,1339.166293,1345.637324,1351.945903,1373.658611,1402.668054,1416.353393,1424.616997,1453.789853,1531.331146,1607.675096,1655.121159,1690.824904,1723.788412,1738.916933,1752.041773,1766.261844,1796.980474,1828.778009,1854.153489,1877.586428,1903.016645,1931.026569,1958.46719,1976.900448,1985.18886,1995.975032,2025.575064,2052.823464,2063.495839,2071.834347,2081.996319,2106.390525,2130.705666,2155.148047,2177.895327,2203.160371,2224.734795,2247.133163,2262.253681,2272.554097,2281.920455,2296.621799,2308.642446,2330.222151,2351.251761,2374.534251,2391.492958,2406.56258,2425.356914,2464.752241,2484.084827,2482.238636,2479.197503,2475.821063,2474.100192,2487.514245,2507.487196,2529.085948,2551.43694,2572.036652,2571.028329,2544.03281,2510.942061,2475.596671,2449.424776,2496.631882,2550.302337,2602.693502,2627.060339,2627.516645,2634.376601,2673.972311,2713.216229,2749.752561,2784.495198,2813.082586,2832.324744,2851.756402,2865.957266,2857.37356,2856.352113,2882.910211,2916.370999,2975.271767,3041.230154,3041.078425,2967.408451,2917.222631,2955.904129,2981.789853,2930.207907,2867.130122,2823.123399,2809.112836,2796.805858,2852.052177,2927.5,2941.960627,2932.302337,2911.776889,2802.623239,2652.21895,2535.964149,2510.569142,2482.221191,2416.261684,2235.953105,2210.861716,2318.636524,2385.471191,2282.648367,2179.675416,2089.474712,2195.649808,2314.65765,2336.435499,2263.347631,2198.806658,2191.903009
44,79.900366,37.278982,2.175,0.332,0,0,0,0.0,0.0,0.044627314,1.04162051,1.923247349,89.62240861,215.6024687,340.3362874,420.5622725,478.6434562,515.6520019,542.5855357,565.536319,582.4769742,600.0775439,615.4744422,630.2225036,644.5967716,672.8963444,701.8017091,718.6630796,732.6815952,768.956797,850.8142111,932.3486311,982.1775597,987.9950942,994.1378383,1004.180567,1013.583795,1027.267289,1043.015192,1058.502453,1075.02532,1091.343251,1106.062668,1118.306219,1131.653901,1150.463839,1170.07153,1184.103339,1192.619244,1202.870707,1222.334388,1240.973572,1258.55705,1275.453711,1287.867384,1296.577781,1314.040354,1368.051116,1421.650419,1466.769742,1507.601677,1548.262542,1578.05982,1608.252255,1637.026586,1654.392942,1670.290078,1701.050324,1733.305586,1761.984966,1779.978636,1798.316664,1818.359392,1839.709289,1860.550245,1873.797753,1887.444532,1901.908372,1918.043203,1936.466688,1974.225352,2014.024371,2030.492325,2037.880994,2045.203671,2079.778129,2114.253679,2150.514955,2187.569869,2216.832568,2206.488527,2197.160468,2217.381864,2242.692356,2267.333281,2300.1812,2334.575724,2367.689983,2399.61054,2420.338661,2425.739041,2430.98101,2433.318405,2429.063934,2438.89128,2461.864694,2486.478398,2488.727805,2486.637759,2483.401171,2479.415256,2467.890014,2451.682386,2434.501978,2466.370312,2507.049691,2548.792372,2586.954581,2618.951416,2651.456243,2689.595031,2728.001899,2768.580313,2808.943978,2847.644722,2880.246875,2914.126919,2942.611014,2942.930685,2947.335021,2968.672258,2989.769109,3022.742048,3081.174869,3119.243076,3114.141953,3109.929894,3126.825289,3144.902674,3103.053331,3046.84507,3009.489318,3044.468112,3079.499921,3085.223453,3078.035923,3081.194968,3087.41937,3092.970565,3008.475866,2864.991613,2738.00633,2734.345466,2729.560373,2726.437411,2502.067416,2395.13499,2558.010603,2715.200032,2621.090995,2526.133565,2432.006014,2455.922298,2523.047318,2556.476025,2515.339294,2473.190378,2461.48188
3,79.899901,37.277841,2.125,0.324,0,0,0,0.0,0.0,2.254321383,17.14900768,35.1387644,147.0997119,292.109475,435.9740717,525.3514725,590.6693342,626.6165173,646.9795134,664.9316581,679.4113316,694.5352113,709.8180218,726.4198143,743.9460627,774.3228233,806.2664853,821.2485595,833.3961268,873.1038732,957.8455506,1042.314501,1093.840749,1102.901729,1112.216229,1122.050736,1131.713348,1144.002881,1157.340109,1171.011684,1187.507362,1204.264725,1225.283611,1248.550576,1269.46735,1286.06146,1303.942061,1318.004321,1330.231594,1345.089469,1374.653009,1404.884443,1416.161812,1415.294014,1431.200064,1454.850672,1490.354033,1550.346031,1607.666933,1653.128361,1691.382202,1730.68806,1758.074104,1785.654449,1813.307458,1830.519526,1846.06258,1879.600832,1915.464629,1947.335147,1967.102113,1987.044814,2000.901889,2010.205506,2021.56226,2041.041773,2060.932458,2078.651088,2095.008643,2112.884603,2144.742798,2177.341709,2190.698944,2195.691581,2201.773848,2225.908451,2250.928617,2282.394366,2318.543054,2349.306658,2342.800896,2336.049936,2358.432939,2385.15669,2411.483515,2437.079385,2461.002881,2489.398047,2539.238636,2570.236716,2573.37564,2575.96959,2575.960147,2574.535051,2578.037452,2587.684699,2597.691421,2610.364117,2621.450224,2622.930218,2607.014085,2591.272407,2575.545455,2567.070423,2593.324264,2625.370839,2658.112836,2688.877561,2717.928617,2749.341229,2788.191261,2825.959347,2860.504161,2893.421095,2923.918534,2950.721031,2977.537932,3000.205506,2995.896767,2994.899968,3009.832746,3026.524808,3046.721991,3069.159091,3093.067542,3128.285531,3162.828105,3172.632682,3175.075864,3129.755922,3077.060659,3048.838988,3072.164373,3093.785691,3077.940621,3047.261364,3052.972471,3075.047535,3088.584507,3005.549776,2860.558259,2736.783451,2706.987996,2676.984795,2647.894366,2614.326344,2609.481114,2624.668534,2638.201665,2618.319942,2597.430698,2570.192862,2549.771287,2528.983515,2486.308579,2399.996799,2321.099712,2298.088188
18,79.899565,37.278535,2.4,0.402,0,0,0,0.0,0.0,0.010243278,0.242637644,0.702944942,79.30921895,188.5881882,297.7027849,362.993598,406.7098271,440.1174776,469.4138924,493.6203585,504.7596031,514.9747119,527.8610755,542.2243918,556.3026569,579.4290973,602.6298015,614.1930218,622.7597631,657.6782971,730.0227273,802.1819782,840.2243918,844.0192061,848.7426376,856.6782971,864.3509923,869.7716069,874.3626761,878.793854,896.0670615,913.5617798,925.7853713,935.4743918,947.2770487,963.5144046,981.1073944,994.8919654,1007.732875,1018.443342,1025.446863,1032.869238,1040.090269,1048.358195,1056.304738,1065.207746,1090.088348,1164.224872,1236.600832,1274.845391,1294.448303,1313.671895,1334.471511,1355.020967,1377.049776,1407.212868,1438.916293,1468.699424,1497.355954,1520.643086,1529.277209,1538.658931,1557.314981,1583.541613,1607.240557,1620.806818,1633.059539,1654.607074,1676.543694,1699.122919,1731.518246,1764.290493,1783.059539,1797.621319,1813.951985,1856.345711,1897.618918,1930.746639,1959.682458,1980.207266,1971.056338,1959.902209,1968.271127,1979.199104,1991.172055,2028.330826,2068.633163,2101.15509,2113.902049,2132.159731,2156.733675,2180.830346,2184.865877,2171.332106,2177.006722,2199.158771,2222.325064,2219.629481,2214.201184,2221.825544,2254.943502,2256.994878,2242.865557,2231.476953,2254.173656,2281.761364,2308.65573,2328.939821,2342.53201,2360.877241,2400.834827,2440.757682,2482.501601,2525.989437,2565.213828,2593.96959,2622.599552,2649.277049,2668.671255,2687.40701,2699.645006,2713.325224,2744.388604,2795.598592,2831.256722,2855.082907,2883.618758,2928.25144,2968.198944,2912.431178,2844.049296,2798.330986,2800.516805,2802.794654,2821.245999,2844.857875,2838.78217,2820.178777,2797.040653,2717.502401,2612.088028,2522.236556,2485.403169,2446.737196,2401.46831,2252.819782,2214.290013,2316.24952,2404.994238,2382.547375,2358.871319,2333.888444,2348.330346,2370.636044,2347.705346,2262.582106,2179.576665,2161.923656
38,79.900907,37.278524,8.875,2.14,0,0,0,0.0,0.0,4.311139565,13.6056338,26.33978873,154.6826184,326.2637644,494.1077145,574.2013444,615.728233,654.1446863,693.2098271,728.3165813,748.6402049,770.7147887,793.2877721,820.7916133,847.478073,875.231274,902.3450704,925.5065621,948.346991,1001.71911,1098.25064,1192.827625,1243.667254,1253.06178,1263.622119,1278.294174,1293.257362,1304.945583,1317.372439,1328.744398,1349.489597,1371.007362,1391.914373,1415.002721,1437.672695,1456.635563,1475.072503,1492.940621,1511.567061,1529.786812,1544.211108,1558.606754,1575.701504,1592.919654,1597.881562,1596.699584,1614.316741,1686.93774,1756.961428,1807.300416,1844.445262,1881.037132,1904.703105,1927.34459,1949.268246,1985.685179,2023.71975,2053.696863,2083.815461,2107.84347,2121.429257,2135.49888,2157.524488,2183.683579,2209.272727,2216.861556,2223.857554,2246.752081,2272.086428,2297.204065,2336.375,2375.49904,2400.109315,2418.870038,2439.022247,2462.461268,2485.77993,2512.917734,2542.924456,2562.556818,2544.306818,2525.767125,2534.662772,2547.78041,2562.490397,2581.629962,2599.96991,2618.077145,2646.523047,2672.50048,2693.334507,2713.945583,2710.246159,2683.955666,2682.713988,2707.051697,2733.34219,2729.358995,2717.131882,2711.728553,2724.347471,2707.022887,2673.636524,2648.254161,2662.46911,2683.31386,2704.712228,2717.670615,2722.252561,2730.81226,2785.282971,2839.452305,2888.841709,2931.15653,2966.904449,2984.799936,3003.538252,3019.416453,3019.195423,3020.471831,3020.837708,3025.588988,3061.338508,3136.882042,3176.982875,3168.191261,3168.12356,3201.619078,3224.974552,3164.052497,3093.755922,3044.341069,3043.721031,3042.761204,3035.075864,3017.650608,3000.951504,2982.832266,2958.143406,2870.233515,2746.527529,2638.18694,2594.319462,2545.721831,2486.06242,2298.674776,2234.233675,2347.290333,2448.389085,2413.050896,2375.788892,2342.364597,2355.417574,2376.273367,2353.316421,2258.176376,2169.052497,2145.737836
