b14,b100,b138,b142,b150,b152,b155,b158,b160,b163,TS
654.1446863,2683.955666,3044.341069,3017.650608,2545.721831,2298.674776,2448.389085,2342.364597,2376.273367,2169.052497,8.875
499.3438835,2314.696313,2861.595664,2979.828454,2629.44026,2552.899509,2617.463681,2598.212692,2548.553885,2327.454344,1.65
521.584347,2090.991997,2573.977593,2724.09235,2233.559699,2014.871959,2046.298656,2038.210467,2130.335147,1880.612356,1.45
639.0632202,2481.695743,2763.824744,2887.387324,2385.818182,2123.542894,2390.242157,2150.12644,2266.503361,2104.183259,8.2
365.9993506,2099.931006,2574.922403,2737.782305,2249.10211,2141.032143,2124.645942,2144.237175,2118.810714,1828.964123,3.875
550.6664029,2301.581896,2784.385029,2937.581263,2513.41668,2215.169331,2488.175819,2303.229941,2406.922931,2198.796012,2.1
1044.432778,2823.400128,2816.157971,2966.518886,2452.513764,2220.769366,2310.579065,2194.993118,2306.383643,2162.40765,11.8
440.1174776,2171.332106,2798.330986,2844.857875,2446.737196,2252.819782,2404.994238,2333.888444,2370.636044,2179.576665,2.4
664.7186264,2828.863111,3290.13863,3422.519702,3052.09416,2910.777338,3003.669726,2832.935275,2941.486311,2806.421111,8.725
404.3590758,2051.003798,2673.976579,2741.564172,2337.199557,2136.044786,2259.41668,2294.44295,2228.512581,2127.809147,1.775
435.8902049,2144.649808,2617.617157,2682.435659,2318.774648,2136.442862,2228.302497,2200.373079,2111.78281,1900.401408,4.475
513.2910271,2172.110777,2691.379174,2790.136097,2429.069631,2245.592024,2383.436303,2334.479348,2389.688875,2205.579839,3.9
515.6520019,2429.063934,3009.489318,3078.035923,2729.560373,2502.067416,2715.200032,2432.006014,2523.047318,2473.190378,2.175
850.1492325,2371.238171,2652.680013,2592.462415,2084.542807,1987.786833,2014.964868,1928.52176,1887.313024,1653.725273,4.95
813.7837708,2669.46927,3135.681498,3127.529449,2801.18598,2748.288572,2782.18806,2729.083387,2751.18678,2527.574264,9.0
1078.742857,2924.421188,2793.708828,2878.509952,2315.258266,2172.855377,2375.856982,2110.866613,2155.125201,2042.310433,5.775
423.6983766,2078.486039,2542.688799,2656.01461,2162.91461,2006.527435,2044.153734,2078.528896,2061.610714,1823.953409,1.9
558.8778809,2438.643086,3000.995198,3187.819782,2808.052337,2699.216869,2669.942061,2723.932939,2732.888764,2379.989117,1.675
563.5680218,2707.296895,3344.271927,3406.113796,3038.557618,2821.197023,3048.004161,2724.488316,2905.548015,2768.862836,4.125
657.7983355,2346.596991,2769.048335,2861.420935,2427.585147,2007.412292,2245.018726,2209.833227,2339.451985,2135.494718,4.225
488.8085787,2392.514885,3115.763924,3284.028809,3069.331306,3031.84299,3074.361716,3060.238956,3027.960627,2825.555378,1.65
725.1309219,2163.485115,2399.377401,2528.058579,1886.221831,1830.118118,1830.473431,1794.925576,1774.997279,1447.350352,10.2
704.3689181,2751.00144,3224.237036,3330.169334,2971.181498,2744.923816,2900.826504,2698.240557,2815.34299,2690.238636,6.825
853.0788099,2681.375218,2734.554202,2886.727963,2399.347365,2226.413673,2302.037031,2181.210635,2242.776547,2043.30796,8.55
795.9478233,2510.362516,2492.739437,2630.476953,1918.597791,1660.572823,1811.03009,1601.050416,1737.167734,1435.895166,8.225
465.0978003,2066.477924,2590.643614,2642.305428,2278.651211,2132.929103,2164.056971,2055.813578,2075.916284,1942.321412,2.3
483.5586327,2419.725589,3008.707074,3062.038297,2778.241336,2672.348315,2685.465105,2672.490742,2659.385504,2534.09606,2.175
502.5089413,2187.578256,2660.422693,2799.094952,2321.674474,2092.337237,2196.270771,2141.736351,2222.111094,2076.62953,4.625
779.5577849,2647.905618,3062.135795,3038.391974,2556.278973,2528.175923,2506.760995,2561.379615,2496.851204,2157.303852,6.45
1358.619402,2954.301788,2950.923406,3092.013451,2484.947935,2233.330907,2283.193543,2163.035132,2184.802026,1905.084349,6.05
609.128041,2252.854994,2363.564821,2493.832907,1916.363476,1645.372919,1718.697503,1587.703905,1623.538252,1372.525288,4.525
513.9181833,2292.980693,2617.433455,2764.237221,2376.878145,2166.019307,2261.772749,2160.409084,2215.902516,2189.765469,3.475
527.193385,2268.184839,2814.352746,2936.384238,2587.607375,2339.014559,2568.355436,2334.263491,2492.348473,2291.948568,3.275
801.6600512,2851.598271,2989.28057,3048.914693,2593.979834,2315.828585,2449.24856,2344.121639,2494.231274,2273.244878,11.2
642.1425859,2349.701219,2789.407659,2941.830511,2451.268713,2094.572242,2360.658965,2250.213958,2413.602785,2078.234847,1.625
519.5947503,2293.802817,2767.980794,2870.34507,2457.677177,2289.252081,2408.129161,2293.586588,2347.494558,2260.307778,2.25
1272.621591,3132.313799,3024.358766,3169.254058,2484.272565,2319.476786,2368.489448,2286.278896,2229.250325,1992.778571,6.45
626.6165173,2574.535051,3048.838988,3047.261364,2676.984795,2614.326344,2638.201665,2570.192862,2528.983515,2321.099712,2.125
1636.894206,3350.822663,3265.369398,3263.642606,2653.692382,2446.772407,2746.402849,2572.87356,2532.216229,2400.483195,7.575
542.6381494,2542.388149,2935.3125,3058.259091,2513.106331,2296.581006,2484.959253,2332.507955,2470.259091,2220.751461,3.0
509.1691741,2289.455986,2879.366677,3050.754641,2763.255602,2446.497439,2637.387004,2480.051536,2626.715429,2519.358035,4.825
483.9329008,2357.953315,2862.081817,2994.369837,2583.372211,2461.030068,2508.751385,2489.096851,2546.681437,2428.413831,4.35
553.136414,2388.575408,2969.056971,3109.344833,2598.55167,2233.287545,2457.743472,2355.463364,2487.648046,2296.256686,2.15
858.2660231,2849.932901,3168.66213,3149.24007,2797.749486,2447.335813,2631.371103,2642.945719,2631.388511,2341.686976,8.125
447.4583867,2131.600992,2722.170294,2783.449584,2453.246639,2273.491997,2383.425896,2374.245038,2393.260403,2152.354513,1.475
1046.703425,2876.669974,2860.380762,2883.026248,2311.760243,1995.971191,2160.766325,1913.173656,2097.96783,1850.994878,8.375
511.0473752,2318.864917,2914.223111,3095.180058,2711.71927,2351.990717,2610.565301,2487.828745,2645.235595,2487.637484,1.325
